SampleID	PrimerPairID	BarcodeID	ProjectID
Castilleja_pilosa_var_longispica_11004	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima560	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_cusickii_f_lutea_12217	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima561	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_aquariensis_14139	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima562	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_cervina_14142	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima563	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_chrysantha_14145	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima564	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_chlorotica_14148	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima565	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_dissitiflora_14154	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima566	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_martinii_var_clokeyi_14169	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima567	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_organorum_14180	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima568	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_patriotica_14187	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima569	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_rigida_14200	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima570	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_stenophylla_14206	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima571	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_beldingii_15049	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima572	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_gleasonii_15050	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima573	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_exserta_15063	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima574	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_scorzonerifolia_15069	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima575	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_gracilis_15114	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima576	Tank_D/Castilleja_48_single_plex_Jun18
